0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:18 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:18 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:19 -0800] "GET /Reservation/search.jsp HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:19 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:19 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:20 -0800] "GET /Reservation/search.jsp HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:20 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:20 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:20 -0800] "GET /Reservation/search.jsp HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:20 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:20 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:21 -0800] "GET /Reservation/search.jsp HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:21 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:21 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:28 -0800] "POST /Reservation/rest/search/,seattle HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:28 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 4528
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:30 -0800] "GET /Reservation/search.jsp HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:33 -0800] "GET /Reservation/search.jsp HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:33 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:33 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:34 -0800] "GET /Reservation/search.jsp HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:34 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:34 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:05 -0800] "POST /Reservation/rest/search/,seattle HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:06 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 4528
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:36 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:36 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:36 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:37 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:37 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:37 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:37 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:37 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:37 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:37 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:38 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:38 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:38 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:38 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:38 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:38 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:38 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
